seed,disease,kg,condition,model,shuffle,pool_size,positive_letter,rank,reciprocal_rank,hit@1,hit@3,hit@5,parsed,error,pos_basis,pos_agreement,pos_confidence,pos_rationale,frac_basis_kg,mean_confidence
1,TRD monotherapy,none,no_kg,llama3.2:1b,0,8,D,6,0.16666666666666666,0,0,0,1,,kg,uncertain,3.0,"The knowledge graph reports evidence from Drug-7, but the pathway and disease relationship is unclear. Without further mechanistic information, I cannot confidently rank this candidate.",1.0,2.625
1,TRD monotherapy,none,no_kg,llama3.2:1b,1,8,G,4,0.25,0,0,1,1,,,,,,,
1,ILD-associated pulmonary hypertension,none,no_kg,llama3.2:1b,0,8,H,9,0.1111111111111111,0,0,0,0,,,,,,,
1,ILD-associated pulmonary hypertension,none,no_kg,llama3.2:1b,1,8,E,1,1.0,1,1,1,1,,kg,insufficient,3.0,"KG evidence of ILD-associated PH pathway is sparse and inconsistent with known disease mechanisms, but prior knowledge on pulmonary hypertension makes this candidate plausible.",1.0,3.875
1,Indolent systemic mastocytosis (EMA),none,no_kg,llama3.2:1b,0,8,C,9,0.1111111111111111,0,0,0,0,,,,,,,
1,Indolent systemic mastocytosis (EMA),none,no_kg,llama3.2:1b,1,8,H,5,0.2,0,0,1,1,,both,sufficient,3.0,"Drug-4 has an association with mast cell degranulation via drug -> target -> pathway connections, although less clear than the other candidates.",0.8571428571428571,3.0
1,Hidradenitis suppurativa,none,no_kg,llama3.2:1b,0,8,C,9,0.1111111111111111,0,0,0,1,,,,,,0.0,5.0
1,Hidradenitis suppurativa,none,no_kg,llama3.2:1b,1,8,F,2,0.5,0,1,1,1,,prior,consistent,4.0,Drug-7 is also associated with Hidradenitis suppurativa and has mechanisms of action that could plausibly contribute to its pathogenesis.,0.625,2.625
1,Chronic hepatitis B (pediatric),none,no_kg,llama3.2:1b,0,8,H,5,0.2,0,0,1,1,,both,insufficient,2.0,Insufficient evidence from the biomedical knowledge graph to confirm mechanistic links and lower confidence in prior knowledge for Drug-8.,0.8571428571428571,2.2857142857142856
1,Chronic hepatitis B (pediatric),none,no_kg,llama3.2:1b,1,8,A,9,0.1111111111111111,0,0,0,1,,,,,,1.0,3.0
1,HoFH pediatric (EMA),none,no_kg,llama3.2:1b,0,8,D,3,0.3333333333333333,0,1,1,1,,prior,insufficient,1.0,I do not have sufficient knowledge to evaluate the mechanistic plausibility of Drug-8 for this disease.,0.8571428571428571,1.5714285714285714
