seed,disease,kg,condition,model,shuffle,pool_size,positive_letter,rank,reciprocal_rank,hit@1,hit@3,hit@5,parsed,error,pos_basis,pos_agreement,pos_confidence,pos_rationale,frac_basis_kg,mean_confidence
1,TRD monotherapy,none,no_kg,llama3.3:70b,0,8,C,6,0.16666666666666666,0,0,0,1,,kg,insufficient,1.0,Limited evidence from the knowledge graph makes it difficult to assess Drug-7's potential for TRD monotherapy.,0.625,2.375
1,TRD monotherapy,none,no_kg,llama3.3:70b,1,8,D,8,0.125,0,0,0,1,,prior,insufficient,1.0,"Drug-7 has no relevant evidence in the knowledge graph, and prior pharmacological knowledge does not provide a clear connection to TRD monotherapy.",0.5,1.875
1,ILD-associated pulmonary hypertension,none,no_kg,llama3.3:70b,0,8,C,1,1.0,1,1,1,1,,both,consistent,4.0,Drug-1 has a well-documented association with vascular smooth muscle relaxation and is known to affect pathways relevant to pulmonary hypertension.,0.625,1.875
1,ILD-associated pulmonary hypertension,none,no_kg,llama3.3:70b,1,8,C,1,1.0,1,1,1,1,,both,consistent,4.0,"Drug-1 has reported associations with pathways implicated in pulmonary hypertension, aligning with prior knowledge of its pharmacological effects.",0.625,2.625
1,Indolent systemic mastocytosis (EMA),none,no_kg,llama3.3:70b,0,8,B,7,0.14285714285714285,0,0,0,1,,kg,conflicting,1.0,The evidence for Drug-8 is conflicting and does not strongly support its use for this condition.,0.375,1.875
1,Indolent systemic mastocytosis (EMA),none,no_kg,llama3.3:70b,1,8,G,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,Drug-8's mechanism of action does not clearly align with mastocytosis treatment targets based on prior knowledge.,0.375,1.875
1,Hidradenitis suppurativa,none,no_kg,llama3.3:70b,0,8,F,6,0.16666666666666666,0,0,0,1,,kg,insufficient,1.0,"There is minimal knowledge graph evidence supporting Drug-7's use in Hidradenitis suppurativa, making its potential highly speculative.",0.5,2.25
1,Hidradenitis suppurativa,none,no_kg,llama3.3:70b,1,8,G,7,0.14285714285714285,0,0,0,1,,kg,conflicting,1.0,The limited and conflicting information about Drug-7 hinders a confident assessment of its suitability for Hidradenitis suppurativa treatment.,0.5,1.875
1,Chronic hepatitis B (pediatric),none,no_kg,llama3.3:70b,0,8,E,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,"Without specific knowledge graph evidence or known pharmacological effects relevant to hepatitis B, Drug-6's potential is largely uncertain and speculative.",0.625,2.375
1,Chronic hepatitis B (pediatric),none,no_kg,llama3.3:70b,1,8,H,8,0.125,0,0,0,1,,prior,insufficient,1.0,There is no clear connection between Drug-6's known effects and the management of Chronic hepatitis B based on prior knowledge or the provided evidence.,0.5,2.25
1,HoFH pediatric (EMA),none,no_kg,llama3.3:70b,0,8,H,8,0.125,0,0,0,1,,prior,insufficient,1.0,Drug-8 lacks both specific knowledge graph evidence and known pharmacological mechanisms directly applicable to treating HoFH pediatric.,0.5,1.875
1,HoFH pediatric (EMA),none,no_kg,llama3.3:70b,1,8,E,6,0.16666666666666666,0,0,0,1,,kg,insufficient,1.0,Lack of direct evidence in the knowledge graph for Drug-8's effects on lipid metabolism or LDL receptors makes its potential impact uncertain.,0.5,2.375
1,Nephrotic syndrome,none,no_kg,llama3.3:70b,0,8,F,1,1.0,1,1,1,1,,both,consistent,4.0,Drug-1 has known anti-inflammatory properties that could help alleviate symptoms of Nephrotic syndrome.,0.5,1.875
1,Nephrotic syndrome,none,no_kg,llama3.3:70b,1,8,A,2,0.5,0,1,1,1,,kg,consistent,3.0,"Drug-1 is associated with a target that plays a role in inflammation, which can be relevant to Nephrotic syndrome, although the connection is not as direct as others.",0.625,1.875
1,Follicular lymphoma,none,no_kg,llama3.3:70b,0,8,C,8,0.125,0,0,0,1,,kg,conflicting,1.0,Drug-8 has the least support due to conflicting evidence regarding its potential to effectively target pathways relevant to Follicular lymphoma treatment.,0.625,2.25
1,Follicular lymphoma,none,no_kg,llama3.3:70b,1,8,B,6,0.16666666666666666,0,0,0,1,,kg,insufficient,1.0,The knowledge graph reports no clear mechanistic links between Drug-8 and follicular lymphoma pathways.,0.5,2.375
1,Retinal vein occlusion,none,no_kg,llama3.3:70b,0,8,D,4,0.25,0,0,1,1,,prior,insufficient,2.0,"Lacking direct evidence, Drug-8's impact on Retinal vein occlusion is speculative based on general pharmacological principles.",0.25,2.25
1,Retinal vein occlusion,none,no_kg,llama3.3:70b,1,8,E,4,0.25,0,0,1,1,,kg,conflicting,1.0,"The knowledge graph indicates Drug-8 may affect blood clotting, but its impact on Retinal vein occlusion is unclear due to conflicting evidence.",0.5,1.875
1,Agitation associated with Alzheimer's dementia,none,no_kg,llama3.3:70b,0,8,B,1,1.0,1,1,1,1,,both,consistent,4.0,"Drug-2 has a clear mechanistic link through the knowledge graph to pathways involved in neurotransmitter regulation, which is crucial for managing agitation.",0.5,2.375
1,Agitation associated with Alzheimer's dementia,none,no_kg,llama3.3:70b,1,8,E,1,1.0,1,1,1,1,,both,consistent,4.0,"Drug-2 has known antipsychotic properties that could potentially alleviate agitation in Alzheimer's patients, supported by both prior knowledge and consistent associations in the knowledge graph.",0.5,2.25
1,High LDL-C with increased CV risk (expanded),none,no_kg,llama3.3:70b,0,8,C,5,0.2,0,0,1,1,,prior,insufficient,2.0,"Without specific evidence, Drug-8's potential impact on LDL-C levels is speculative based on class effects.",0.375,2.125
1,High LDL-C with increased CV risk (expanded),none,no_kg,llama3.3:70b,1,8,E,6,0.16666666666666666,0,0,0,1,,kg,insufficient,1.0,"The knowledge graph provides minimal evidence for Drug-8's relevance to High LDL-C or CV risk, making its potential uncertain.",0.5,2.375
1,Indolent systemic mastocytosis,none,no_kg,llama3.3:70b,0,8,B,1,1.0,1,1,1,1,,both,consistent,4.0,Drug-8 is ranked highest due to its association with a relevant pathway in mast cell regulation through both the knowledge graph and prior pharmacological understanding.,0.5,1.875
1,Indolent systemic mastocytosis,none,no_kg,llama3.3:70b,1,8,G,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,"Drug-8's consideration is similarly hindered by insufficient data, making its potential for treating the disease highly speculative.",0.0,1.25
1,EGPA (expanded),none,no_kg,llama3.3:70b,0,8,F,6,0.16666666666666666,0,0,0,1,,prior,insufficient,1.0,Drug-7 lacks direct evidence linking it to EGPA pathways or mechanisms.,0.5,2.25
