seed,disease,kg,condition,model,shuffle,pool_size,positive_letter,rank,reciprocal_rank,hit@1,hit@3,hit@5,parsed,error,pos_basis,pos_agreement,pos_confidence,pos_rationale,frac_basis_kg,mean_confidence
1,TRD monotherapy,none,no_kg,llama3.1:405b,0,8,B,9,0.1111111111111111,0,0,0,0,500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate,,,,,,
1,TRD monotherapy,none,no_kg,llama3.1:405b,1,8,H,9,0.1111111111111111,0,0,0,0,500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate,,,,,,
1,ILD-associated pulmonary hypertension,none,no_kg,llama3.1:405b,0,8,C,9,0.1111111111111111,0,0,0,0,500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate,,,,,,
1,ILD-associated pulmonary hypertension,none,no_kg,llama3.1:405b,1,8,A,9,0.1111111111111111,0,0,0,0,500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate,,,,,,
1,Indolent systemic mastocytosis (EMA),none,no_kg,llama3.1:405b,0,8,D,4,0.25,0,0,1,1,,both,conflicting,3.0,"Despite the knowledge graph indicating a mechanistic link, my pharmacological knowledge suggests Drug-8's side effects might outweigh its benefits for mastocytosis.",0.75,3.125
1,Indolent systemic mastocytosis (EMA),none,no_kg,llama3.1:405b,1,8,E,6,0.16666666666666666,0,0,0,1,,prior,insufficient,1.0,"Drug-8 has no clear relevance to mastocytosis based on prior knowledge, and lacks evidence in the graph.",0.625,1.875
1,Hidradenitis suppurativa,none,no_kg,llama3.1:405b,0,8,A,1,1.0,1,1,1,1,,both,consistent,4.0,Drug-7 has some knowledge graph evidence suggesting a link to inflammation and immune response pathways relevant to Hidradenitis suppurativa.,0.5,3.0
1,Hidradenitis suppurativa,none,no_kg,llama3.1:405b,1,8,G,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,"There is no provided evidence, and prior knowledge does not suggest a clear link between Drug-7 and Hidradenitis suppurativa treatment.",0.375,2.25
1,Chronic hepatitis B (pediatric),none,no_kg,llama3.1:405b,0,8,F,6,0.16666666666666666,0,0,0,1,,prior,insufficient,2.0,Drug-6 lacks sufficient evidence in the knowledge graph and prior knowledge does not suggest strong efficacy.,0.375,2.75
1,Chronic hepatitis B (pediatric),none,no_kg,llama3.1:405b,1,8,F,7,0.14285714285714285,0,0,0,1,,prior,insufficient,2.0,"Drug-6 lacks clear evidence linking it to the hepatitis B virus or its pathways, making it a less likely candidate based solely on prior knowledge.",0.375,2.875
