seed,disease,kg,condition,model,shuffle,pool_size,positive_letter,rank,reciprocal_rank,hit@1,hit@3,hit@5,parsed,error,pos_basis,pos_agreement,pos_confidence,pos_rationale,frac_basis_kg,mean_confidence
2,Chorea associated with Huntington's disease,none,no_kg,llama3.2:3b,0,8,G,8,0.125,0,0,0,1,,,,,,,
2,Chorea associated with Huntington's disease,none,no_kg,llama3.2:3b,1,8,B,6,0.16666666666666666,0,0,0,1,,prior,insufficient,1.0,Drug-8 lacks clear mechanistic links to the pathophysiology of chorea symptoms in Huntington's disease,0.75,2.25
2,Chronic thromboembolic pulmonary hypertension,none,no_kg,llama3.2:3b,0,8,C,4,0.25,0,0,1,1,,prior,insufficient,2.0,Drug 7's pathway link is unclear without further investigation or confirmation from the KG.,0.5,2.375
2,Chronic thromboembolic pulmonary hypertension,none,no_kg,llama3.2:3b,1,8,A,1,1.0,1,1,1,1,,both,consistent,4.0,Drug-7 has a strong mechanistic link to DOID:6432 and plausible pathways for treating pulmonary hypertension.,0.625,1.75
2,Indolent systemic mastocytosis,none,no_kg,llama3.2:3b,0,8,G,6,0.16666666666666666,0,0,0,1,,kg,uncertain,1.0,Mechanism unknown,0.5714285714285714,2.4285714285714284
2,Indolent systemic mastocytosis,none,no_kg,llama3.2:3b,1,8,B,9,0.1111111111111111,0,0,0,1,,,,,,,
2,EGPA (expanded),none,no_kg,llama3.2:3b,0,8,C,8,0.125,0,0,0,1,,kg,insufficient,2.0,"Drug-8's KG evidence is limited, and its mechanism of action for EGPA treatment is unclear.",0.875,2.25
2,EGPA (expanded),none,no_kg,llama3.2:3b,1,8,A,9,0.1111111111111111,0,0,0,1,,,,,,0.7142857142857143,2.142857142857143
2,Invasive fungal infections pediatric ≥2yr,none,no_kg,llama3.2:3b,0,8,D,5,0.2,0,0,1,1,,kg,insufficient,1.0,Limited KG evidence for antifungal activity,0.625,2.75
2,Invasive fungal infections pediatric ≥2yr,none,no_kg,llama3.2:3b,1,8,E,3,0.3333333333333333,0,1,1,1,,prior,insufficient,2.0,Drug-E has been shown to have antifungal properties but lacks specific connections to invasive fungal infections in pediatric patients.,0.5,1.75
2,PKU expanded to ≥12yr,none,no_kg,llama3.2:3b,0,8,G,7,0.14285714285714285,0,0,0,1,,kg,insufficient,2.0,The KG's mention of Drug-8's connection to ornithine metabolism lacks specificity regarding PKU phenotypes and age ranges.,0.75,2.375
2,PKU expanded to ≥12yr,none,no_kg,llama3.2:3b,1,8,E,6,0.16666666666666666,0,0,0,1,,kg,insufficient,1.0,Lack of clear mechanism or reported association with DOID:9281 in the knowledge graph.,0.5714285714285714,2.142857142857143
2,Nephrotic syndrome,none,no_kg,llama3.2:3b,0,8,B,2,0.5,0,1,1,1,,kg,conflicting,3.0,"Drug B targets the mTOR pathway, which is involved in renal fibrosis, a common complication of nephrotic syndrome, but its efficacy on the disease itself is unclear.",0.875,2.25
2,Nephrotic syndrome,none,no_kg,llama3.2:3b,1,8,A,3,0.3333333333333333,0,1,1,1,,prior,insufficient,2.0,"Some drugs used in hypertension and diabetes have been investigated for nephrotic syndrome, but their mechanisms are not well understood.",0.5,1.75
2,HR+/HER2- node-positive high-risk early breast cancer,none,no_kg,llama3.2:3b,0,8,H,8,0.125,0,0,0,1,,prior,insufficient,1.0,Prior knowledge lacks evidence linking it to HR+/HER2- breast cancer.,0.5,1.875
2,HR+/HER2- node-positive high-risk early breast cancer,none,no_kg,llama3.2:3b,1,8,H,8,0.125,0,0,0,1,,kg,uncertain,1.0,Insufficient evidence from the biomedical knowledge graph to support mechanistic plausibility.,0.75,1.75
2,Retinopathy of prematurity,none,no_kg,llama3.2:3b,0,8,H,8,0.125,0,0,0,1,,kg,conflicting,3.0,No clear mechanistic links to DOID:13025,0.875,2.125
2,Retinopathy of prematurity,none,no_kg,llama3.2:3b,1,8,B,2,0.5,0,1,1,1,,kg,conflicting,3.0,,0.75,1.75
