seed,disease,kg,condition,model,shuffle,pool_size,positive_letter,rank,reciprocal_rank,hit@1,hit@3,hit@5,parsed,error,pos_basis,pos_agreement,pos_confidence,pos_rationale,frac_basis_kg,mean_confidence
1,TRD monotherapy,none,no_kg,llama3.1:8b,0,8,B,7,0.14285714285714285,0,0,0,1,,kg,uncertain,3.0,"Uncertain KG association with a relevant pathway, indirect link to TRD monotherapy via multiple pathways.",0.75,3.0
1,TRD monotherapy,none,no_kg,llama3.1:8b,1,8,A,3,0.3333333333333333,0,1,1,1,,prior,insufficient,5.0,"Based on prior knowledge, Drug-7 might be effective for TRD monotherapy due to its pharmacological properties.",0.625,3.0
1,ILD-associated pulmonary hypertension,none,no_kg,llama3.1:8b,0,8,A,4,0.25,0,0,1,1,,prior,insufficient,2.0,"Drug-1 has potential anti-inflammatory properties that may be beneficial for ILD-associated pulmonary hypertension, but there is no direct evidence from the knowledge graph.",0.5,1.875
1,ILD-associated pulmonary hypertension,none,no_kg,llama3.1:8b,1,8,H,7,0.14285714285714285,0,0,0,1,,kg,insufficient,1.0,,0.625,3.25
1,Indolent systemic mastocytosis (EMA),none,no_kg,llama3.1:8b,0,8,A,4,0.25,0,0,1,1,,kg,insufficient,2.0,"Drug-8 has associations with various diseases, but no clear connection to ISM or mast cell pathways.",0.75,2.5
1,Indolent systemic mastocytosis (EMA),none,no_kg,llama3.1:8b,1,8,B,6,0.16666666666666666,0,0,0,1,,prior,insufficient,1.0,There is no clear mechanistic link or evidence to suggest that Drug-8 would be effective in treating Indolent systemic mastocytosis.,0.5714285714285714,2.857142857142857
1,Hidradenitis suppurativa,none,no_kg,llama3.1:8b,0,8,B,3,0.3333333333333333,0,1,1,1,,prior,insufficient,2.0,"Based on my own knowledge, I am uncertain about Drug-7's potential effectiveness against HS without more evidence.",0.625,1.875
1,Hidradenitis suppurativa,none,no_kg,llama3.1:8b,1,8,F,6,0.16666666666666666,0,0,0,1,,kg,insufficient,1.0,"Mechanistic link through TLR4 inhibition (Drug-7 -> TLR4 -> MyD88 -> HS), but lack of additional evidence or prior knowledge limits confidence.",0.875,2.25
1,Chronic hepatitis B (pediatric),none,no_kg,llama3.1:8b,0,8,C,5,0.2,0,0,1,1,,prior,insufficient,4.0,"While Drug-6 has been used for other liver diseases, I couldn't find any direct connection to chronic hepatitis B.",0.75,2.5
1,Chronic hepatitis B (pediatric),none,no_kg,llama3.1:8b,1,8,C,4,0.25,0,0,1,1,,prior,insufficient,3.0,"Based on general pharmacological principles, Drug-6 could potentially affect immune responses relevant to hepatitis B infection.",0.625,2.875
1,HoFH pediatric (EMA),none,no_kg,llama3.1:8b,0,8,C,6,0.16666666666666666,0,0,0,1,,prior,insufficient,2.0,Based on prior knowledge of bile acid sequestrant effects but no direct link to HoFH pediatric in the KG,0.5,2.125
